,text_raw,text_clean
0,Harry Potter and the Goblet of Fire by J.K. Rowling,harry potter and the goblet of fire by j k rowling
1,HARRY POTTER AND THE GOBLET OF FIRE,harry potter and the goblet of fire
2,CHAPTER ONE  THE RIDDLE HOUSE,chapter one the riddle house
3,"The villagers of Little Hangleron still called it ""the Riddle House,"" even though it had been many years since the Riddle family had lived there.",the villager of little hangleron still call it the riddle house even though it have be many year since the riddle family have live there
4,"It stood on a hill overlooking the village, some of its windows boarded, tiles missing from its roof, and ivy spreading unchecked over its face.",it stand on a hill overlook the village some of its window board tile miss from its roof and ivy spread unchecked over its face
5,"Once a finelooking manor, and easily the largest and grandest building for miles around, the Riddle House was now damp, derelict, and unoccupied.",once a finelooking manor and easily the large and grand build for mile around the riddle house be now damp derelict and unoccupied
6,"The Little Hagletons all agreed that the old house was ""creepy.""",the little hagletons all agree that the old house be creepy
7,"Half a century ago, something strange and horrible had happened there, something that the older inhabitants of the village still liked to discuss when topics for gossip were scarce.",half a century ago something strange and horrible have happen there something that the old inhabitant of the village still like to discuss when topic for gossip be scarce
8,"The story had been picked over so many times, and had been embroidered in so many places, that nobody was quite sure what the truth was anymore.",the story have be pick over so many time and have be embroider in so many place that nobody be quite sure what the truth be anymore
9,"Every version of the tale, however, started in the same place: Fifty years before, at daybreak on a fine summer's morning when the Riddle House had still been well kept and impressive, a maid had entered the drawing room to find all three Riddles dead.",every version of the tale however start in the same place fifty year before at daybreak on a fine summer s morning when the riddle house have still be good keep and impressive a maid have enter the draw room to find all three riddle dead
10,The maid had run screaming down the hill into the village and roused as many people as she could.,the maid have run scream down the hill into the village and rouse a many people a she can
11,"""Lying there with their eyes wide open!",lie there with their eye wide open
12,Cold as ice!,cold a ice
13,"Still in their dinner things!""",still in their dinner thing
14,"The police were summoned, and the whole of Little Hangleton had seethed with shocked curiosity and illdisguised excitement.",the police be summon and the whole of little hangleton have seethe with shock curiosity and illdisguised excitement
15,"Nobody wasted their breath pretending to feel very sad about the Riddles, for they had been most unpopular.",nobody waste their breath pretend to feel very sad about the riddle for they have be much unpopular
16,"Elderly Mr. and Mrs. Riddle had been rich, snobbish, and rude, and their grownup son, Tom, had been, if anything, worse.",elderly mr and mrs riddle have be rich snobbish and rude and their grownup son tom have be if anything wrong
17,"All the villagers cared about was the identity of their murderer  for plainly, three apparently healthy people did not all drop dead of natural causes on the same night.",all the villager care about be the identity of their murderer for plainly three apparently healthy people do not all drop dead of natural cause on the same night
18,"The Hanged Man, the village pub, did a roaring trade that night; the whole village seemed to have turned out to discuss the murders.",the hang man the village pub do a roar trade that night the whole village seem to have turn out to discuss the murder
19,They were rewarded for leaving their firesides when the Riddles' cook arrived dramatically in their midst and announced to the suddenly silent pub that a man called Frank Bryce had just been arrested.,they be reward for leave their fireside when the riddle cook arrive dramatically in their midst and announce to the suddenly silent pub that a man call frank bryce have just be arrest
20,"""Frank!""",frank
21,cried several people.,cry several people
22,"""Never!""",never
23,Frank Bryce was the Riddles' gardener.,frank bryce be the riddle gardener
24,He lived alone in a rundown cottage on the grounds of the Riddle House.,he live alone in a rundown cottage on the ground of the riddle house
25,"Frank had come back from the war with a very stiff leg and a great dislike of crowds and loud noises, and had been working for the Riddles ever since.",frank have come back from the war with a very stiff leg and a great dislike of crowd and loud noise and have be work for the riddle ever since
26,There was a rush to buy the cook drinks and hear more details.,there be a rush to buy the cook drink and hear much detail
27,"""Always thought he was odd,"" she told the eagerly listening villagers, after her fourth sherry.",always think he be odd she tell the eagerly listen villager after her 4 sherry
28,"""Unfriendly, like.",unfriendly like
29,"I'm sure if I've offered him a cuppa once, I've offered it a hundred times.",i be sure if i have offer him a cuppa once i have offer it a hundred time
30,"Never wanted to mix, he didn't.""",never want to mix he do not
31,"""Ah, now,"" said a woman at the bar, ""he had a hard war, Frank.",ah now say a woman at the bar he have a hard war frank
32,He likes the quiet life.,he like the quiet life
33,"That's no reason to """,that be no reason to
34,"""Who else had a key to the back door, then?""",who else have a key to the back door then
35,barked the cook.,bark the cook
36,"""There's been a spare key hanging in the gardener's cottage far back as I can remember!",there be be a spare key hang in the gardener s cottage far back a i can remember
37,Nobody forced the door last night!,nobody force the door last night
38,No broken windows!,no break window
